"LabID","Pol"
62698,-0.423140103672337
33951,-0.451175439877345
56153,-0.467383368620866
49329,-0.443819814557932
18182,-0.458421552164708
49329,-0.443819814557932
44978,-0.393571585018617
6936,-0.406202088048478
33951,-0.451175439877345
34736,-0.448036066291889
51856,-0.447013944659415
34736,-0.448036066291889
25578,-0.424965320873184
34736,-0.448036066291889
51856,-0.447013944659415
45668,-0.402569905818792
61452,-0.392202672117982
25578,-0.424965320873184
25578,-0.424965320873184
39590,-0.427265094546251
25578,-0.424965320873184
48503,-0.485617288457326
6936,-0.406202088048478
58325,-0.49176827042418
6037,-0.46232751697452
49329,-0.443819814557932
18182,-0.458421552164708
51856,-0.447013944659415
6037,-0.46232751697452
62698,-0.423140103672337
25578,-0.424965320873184
39590,-0.427265094546251
62698,-0.423140103672337
25578,-0.424965320873184
61452,-0.392202672117982
58325,-0.49176827042418
62698,-0.423140103672337
18182,-0.458421552164708
49329,-0.443819814557932
49329,-0.443819814557932
45668,-0.402569905818792
18959,-0.396820471636125
61452,-0.392202672117982
45668,-0.402569905818792
56153,-0.467383368620866
44978,-0.393571585018617
58325,-0.49176827042418
20162,-0.43670146747463
46771,-0.452599109294006
26458,-0.440607432284442
58595,-0.446995692487406
24506,-0.450992918157261
27726,-0.497663721982916
51370,-0.450299335620939
50982,-0.358527414762357
9892,-0.492516609476528
21633,-0.456778856683945
10706,-0.479521063006498
45826,-0.452945900562167
1904,-0.399448784405344
59033,-0.478772723954151
25980,-0.419708695334745
25980,-0.419708695334745
12474,-0.422245747243922
22513,-0.453310944002336
14736,-0.428433233554793
51370,-0.450299335620939
11561,-0.457308169672191
18611,-0.479685332554574
13191,-0.373165656713149
51824,-0.438052128203256
58595,-0.446995692487406
58447,-0.416350295685187
26056,-0.479466306490472
9892,-0.492516609476528
9229,-0.435095276337884
10706,-0.479521063006498
62209,-0.428579250930861
18354,-0.5
51824,-0.438052128203256
44311,-0.451540483317515
51824,-0.438052128203256
56077,-0.39926626268526
22513,-0.453310944002336
56077,-0.39926626268526
44311,-0.451540483317515
14736,-0.428433233554793
56077,-0.39926626268526
11561,-0.457308169672191
48696,-0.437541067387019
11561,-0.457308169672191
47138,-0.479940862962693
61443,-0.430678250711835
59587,-0.417408921661678
61443,-0.430678250711835
50982,-0.358527414762357
61443,-0.430678250711835
26358,-0.413959261152077
12474,-0.422245747243922
14715,-0.452015039789735
23461,-0.404358618675623
4700,-0.404650653427758
62817,-0.369825509235599
62070,-0.350971015550851
51431,-0.399704314813463
62817,-0.369825509235599
43164,-0.391089289625465
58184,-0.412645104767467
58184,-0.412645104767467
34121,-0.452325326713879
39351,-0.424582025261006
4700,-0.404650653427758
59653,-0.413703730743959
60081,-0.447196466379499
58798,-0.412024530919179
34830,-0.431043294152004
13062,-0.430148937723589
49638,-0.384646272906476
65232,-0.37267284806892
60081,-0.447196466379499
63964,-0.425567642549463
29842,-0.391344820033584
46074,-0.453968022194641
63964,-0.425567642549463
46010,-0.34668175512886
56240,-0.408100313937359
53723,-0.409359713805943
24557,-0.39902898444915
3613,-0.374881360881945
20891,-0.380649047236621
20891,-0.380649047236621
13204,-0.440935971380594
47472,-0.409834270278163
27113,-0.383368620865883
55689,-0.445480762210703
22269,-0.352942250127765
32502,-0.372618091552895
62123,-0.421807695115719
25475,-0.405727531576258
51431,-0.399704314813463
48423,-0.411933270059137
18730,-0.403993575235453
62338,-0.414652843688399
34121,-0.452325326713879
28850,-0.391600350441703
34121,-0.452325326713879
25475,-0.405727531576258
51431,-0.399704314813463
29842,-0.391344820033584
64388,-0.376870847630868
56633,-0.349127546177995
38762,-0.377199386727021
5857,-0.487825801270351
5860,-0.390468715777178
16610,-0.42239176461999
11058,-0.42202672117982
24414,-0.384938307658611
51214,-0.417792217273856
19085,-0.403738044827334
43452,-0.41833978243411
11866,-0.372508578520844
62159,-0.328502591808425
39328,-0.36754398773454
11444,-0.367270205154413
23538,-0.353033510987808
19388,-0.366010805285829
37879,-0.407023435788859
58893,-0.384463751186391
65166,-0.420164999634957
24414,-0.384938307658611
32141,-0.356574432357451
22130,-0.417682704241805
11058,-0.42202672117982
31164,-0.408246331313426
24163,-0.387584872599839
48274,-0.399832080017522
12952,-0.358381397386289
48813,-0.391782872161787
57469,-0.349529093962182
51346,-0.393808863254727
28099,-0.446612396875228
10517,-0.417810469445864
11444,-0.367270205154413
37644,-0.363090457764474
31995,-0.383952690370154
41281,-0.370537343943929
24252,-0.347411842009199
32141,-0.356574432357451
35305,-0.447086953347448
6795,-0.433105789588961
65029,-0.425239103453311
24163,-0.387584872599839
365,-0.340147477549829
43566,-0.370628604803972
57469,-0.349529093962182
31135,-0.330382565525298
5435,-0.406220340220486
12837,-0.386051690151128
22130,-0.417682704241805
39284,-0.399558297437395
5138,-0.335748704095787
39745,-0.380192742936409
3675,-0.415072643644594
9969,-0.29398773454041
32472,-0.299883186099146
46639,-0.355315032488866
48525,-0.331276921953712
1856,-0.358399649558298
13623,-0.387803898663941
