"","LabID","Ash"
"1",27,2.33556885853875
"2",448,4.44666232328653
"3",1041,3.74348267266628
"4",1059,1.66387420992038
"5",1183,2.78930714061176
"6",2080,2.28148579412496
"7",2205,2.11127000257492
"8",2812,0.962598826088095
"9",3288,1.04097279732009
"10",3916,2.38259278379185
"11",4047,0.875197126133787
"12",4148,1.79979986043254
"13",4208,1.2484084219903
"14",4223,0.837501611385018
"15",4783,2.15144597556812
"16",4851,5.14094214477257
"17",5141,1.78412348845284
"18",5359,4.94030220628924
"19",5521,2.02404370705557
"20",5531,1.45484723163158
"21",5687,2.28214617533541
"22",5769,2.8061224489796
"23",6205,1.39525093721892
"24",6607,4.18195157740279
"25",6821,3.12704481322122
"26",6919,1.81872057670856
"27",6941,1.71744292921967
"28",7024,1.74044263225641
"29",7076,2.52516045636215
"30",7237,2.5580249197842
"31",7512,2.02973597023031
"32",7632,1.28137338237174
"33",8180,2.06014442581565
"34",8980,2.89166452337786
"35",9688,1.767642845588
"36",9796,1.60304752035248
"37",9980,1.05237002852942
"38",10022,1.14113620401046
"39",10541,1.10538840842594
"40",10638,1.0125630263923
"41",10798,0.632692584879842
"42",10874,0.718286917290177
"43",11671,1.38008276022827
"44",12718,1.40347065215687
"45",12962,1.22652785860261
"46",13038,0.887301885109866
"47",13297,1.10407365034386
"48",13429,1.81848152495195
"49",13501,1.74790168102394
"50",13892,1.09683693245532
"51",14117,2.66970041714072
"52",14501,2.50230896234626
"53",14554,1.21239110266247
"54",15129,1.26081587345634
"55",15213,1.45275302551065
"56",15218,1.39447788399683
"57",15237,1.96978071054139
"58",15325,1.7699540941681
"59",16145,0.987639247691148
"60",16223,2.37194633079444
"61",16602,4.52786124820279
"62",16842,2.36711445523754
"63",17169,1.71383379836701
"64",17468,0.897270539905546
"65",17938,2.90740317814284
"66",18100,2.5670184320326
"67",18818,1.06797294691654
"68",20482,1.09133036720129
"69",20483,1.870713562937
"70",20688,2.23844499749805
"71",21011,1.4518152689727
"72",21784,1.22852917756798
